name,slug,url,description,category,sub-category,chains,status,github,docs,x_twitter,linkedin,email,telegram,listed
Factor DAO,factor,factor.fi,"Onchain asset management platform on Arbitrum enabling creation of tokenized baskets, yield pools, and structured DeFi strategies through ERC-4626 vaults.",Infrastructure,Vault Platforms,Arbitrum,active,factorDAO,docs.factor.fi,Factor_fi,,,FactorDAO,true
Knightrade,knightrade,knightrade.io,Web3 social trading platform enabling users to invest alongside verified traders through managed vaults executing quantitative strategies on Drift and other DeFi protocols.,Management & Curation,,"Arbitrum, Solana",active,,doc.knightrade.io,KnightradeTeam,,support@knightrade.io,knightrade,true
Morpho,morpho,morpho.org,Decentralized lending protocol matching lenders and borrowers peer-to-peer while enabling permissionless creation of isolated overcollateralized lending markets.,Lending & Yield,,"Celo, Hemi, Lisk, Plume, Sei, Soneium, TAC, World Chain, Ethereum, Base, Polygon, Unichain, Katana, Arbitrum, HyperEVM, Optimism",active,morpho-org,docs.morpho.org,Morpho,morpho-association,contact@morpho.org,,true
9Summits,9summits,9summits.io,Vault curator on Morpho managing DeFi lending vaults with yield-focused strategies using leverage and varied collateral types.,Management & Curation,,Ethereum,active,,,nine_summits,nine-summits-capital,,,true
AlphaPing,alphaping,alphaping.ch,"DeFi firm providing vault curation, liquidity allocation, and fixed-rate lending services across protocols including Morpho and Euler.",Management & Curation,,Ethereum,active,,,0xAlphaping,,,,true
Keyrock,keyrock,keyrock.com,Digital asset market maker providing algorithmic liquidity across centralized and decentralized exchanges through OTC trading and treasury solutions.,Management & Curation,,Ethereum,active,,,keyrock,keyrock,,keyrockinsights,true
Mellow Protocol,mellow,mellow.finance,"Permissionless vault infrastructure enabling curators to create and manage multi-asset vaults for restaking, liquidity provision, and DeFi strategies.",Infrastructure,Vault Platforms,Ethereum,active,mellow-finance,docs.mellow.finance,Mellowprotocol,mellow-protocol,,,true
Orion,orion,orionfinance.ai,Vault infrastructure protocol providing privacy-preserving portfolio management with modular yield-bearing vaults for onchain asset managers.,Infrastructure,Vault Platforms,Ethereum,beta,OrionFinanceAI,docs.orionfinance.ai,OrionFinanceAI,orionfinance,,orionfinance_ai,true
Pareto,pareto,pareto.credit,Onchain private credit marketplace connecting institutional lenders with borrowers through curator-managed credit vaults and synthetic dollar (USP).,Lending & Yield,,Ethereum,active,pareto-credit,docs.pareto.credit,paretocredit,paretocredit,,paretocredit,true
Rethink Finance,rethink,rethink.finance,Onchain fund infrastructure protocol built on Safe and OpenZeppelin enabling managers to operate EVM-compatible vaults with governance controls.,Infrastructure,Vault Platforms,Ethereum,beta,rethink-finance,docs.rethink.finance,RethinkProtocol,rethinkfinance,,,true
RockSolid,rocksolid,rocksolid.network,DeFi vault platform offering ERC-7540-compliant liquid vaults with professionally managed yield strategies and white-label solutions.,Infrastructure,Vault Platforms,Ethereum,active,,docs.rocksolid.network,rocksolidHQ,rocksolidvaults,,,true
Symbiotic Finance,symbiotic,symbiotic.fi,Permissionless shared security protocol enabling decentralized networks to access restaking from ERC-20 tokens through customizable vaults and slashing.,Infrastructure,Cross-Chain Platforms,Ethereum,active,symbioticfi,docs.symbiotic.fi,symbioticfi,symbiotic-fi,,symbioticannouncements,true
Tulipa Capital,tulipa,tulipa.capital,DeFi vault curator providing risk-focused curation services and yield strategy management for protocols as a third-party risk manager.,Management & Curation,,Ethereum,active,,,tulipacapital,,info@tulipa.capital,,true
UltraYield,ultrayield,ultrayield.app,Curates market-neutral DeFi strategies and provides infrastructure for launching yield-generating vaults with secure deployment.,Management & Curation,,Ethereum,active,,ultrayield.gitbook.io,ultrayieldapp,ultrayieldapp,,ultrayieldapp,true
BlackRock BUIDL,blackrock,blackrock.com,"Tokenized money market fund investing in U.S. Treasury bills, cash, and repos, paying daily accrued dividends as new tokens monthly.",Asset Tokenization,Treasury Securities,"Ethereum, Aptos, Arbitrum, Avalanche, Optimism, Polygon, Solana, BNB Chain",active,,,BlackRock,blackrock,,,true
Apollo ACRED,apollo,apollo.com,"Tokenized feeder fund by Securitize providing onchain access to Apollo Diversified Credit Fund across Ethereum, Solana, and other networks.",Asset Tokenization,Private Credit & Alternatives,"Ethereum, Aptos, Avalanche, Polygon, Solana, Ink, Sei",active,,,apolloglobal,apollo-global-management-inc,,,true
Bracket Finance,bracket,bracket.fi,"Provides managed vaults where users deposit LSTs, ETH, BTC, or stablecoins into professionally managed yield strategies.",Infrastructure,Vault Platforms,"Ethereum, Arbitrum",active,,docs.bracket.fi,bracket_fi,bracket-fi,,bracket_community,true
Concrete,concrete,concrete.xyz,"Multi-chain DeFi protocol aggregating money markets for borrowing with optional liquidation protection, plus ERC-4626 earn vaults for yield.",Lending & Yield,,"Ethereum, Arbitrum, Base",active,,docs.concrete.xyz,ConcreteXYZ,blueprintfinance,,,true
IPOR,ipor,ipor.io,DeFi protocol publishing onchain benchmark interest rate indices and enabling interest rate swaps for hedging or speculation of borrowing costs.,Lending & Yield,,"Ethereum, Arbitrum, Base",active,IPOR-Labs,docs.ipor.io,ipor_io,iporlabs,,IPOR_official_broadcast,true
OpenEden,openeden,openeden.com,Tokenization platform issuing TBILL tokens backed by short-dated U.S. Treasury Bills with 24/7 minting and redemption via USDC.,Asset Tokenization,Treasury Securities,"Ethereum, Arbitrum, Base, BNB Chain, Solana, XRP Ledger, Kaia, Plume",active,OpenEdenHQ,docs.openeden.com,OpenEden_X,openeden,support@openeden.com,openeden,true
Somm,somm,somm.finance,Cosmos SDK-based asset management protocol enabling actively managed DeFi vaults with off-chain computation for dynamic rebalancing across EVM chains.,Infrastructure,Cross-Chain Platforms,"Ethereum, Arbitrum, Base, Optimism",active,,sommelier-finance.gitbook.io,sommfinance,somm-finance,,getsomm,true
Summer.fi,summer,summer.fi,"Multi-protocol DeFi interface providing borrow, multiply, and earn functions across Maker, Aave, Morpho with automation tools.",Lending & Yield,,"Ethereum, Arbitrum, Base, Optimism",active,OasisDEX,docs.summer.fi,summerfinance_,summerfi,support@summer.fi,,true
YO Protocol,yo,yo.xyz,Multi-chain yield aggregator using ERC-4626 vaults that automatically rebalances deposits across DeFi protocols based on risk-adjusted yields.,Lending & Yield,,"Ethereum, Arbitrum, Base, Optimism, Polygon, Avalanche, BNB Chain",active,yoprotocol,docs.yo.xyz,yield,yo-protocol,,yo_protocol,true
Superform,superform,superform.xyz,Cross-chain yield marketplace enabling deposits into ERC-4626 vaults across multiple EVM chains using any token in a single transaction.,Infrastructure,Cross-Chain Platforms,"Ethereum, Arbitrum, Base, Optimism, Polygon, Avalanche, BNB Chain, Fantom, Gnosis, Linea",active,superform-xyz,docs.superform.xyz,Superformxyz,superformxyz,,,true
